affiliation,num_papers
Tsinghua University,541
Stanford University,389
Google DeepMind,343
Zhejiang University,332
Peking University,325
National University of Singapore,305
Carnegie Mellon University,285
Shanghai AI Laboratory,280
NVIDIA,269
The University of Hong Kong,257
The Chinese University of Hong Kong,250
Shanghai Jiao Tong University,236
UC Berkeley,216
University of Washington,216
Fudan University,211
Microsoft Research,207
Google Research,201
University of Illinois Urbana-Champaign,178
Nanyang Technological University,174
Microsoft,172
Adobe Research,166
Shanghai Artificial Intelligence Laboratory,162
Alibaba Group,155
Google,152
ByteDance Seed,151
HKUST,147
University of Science and Technology of China,146
Princeton University,137
MIT,134
ByteDance,133
University of Oxford,132
Nanjing University,132
KAIST,129
Apple,128
New York University,123
Meta AI,119
"University of California, Berkeley",117
Independent Researcher,109
University of Southern California,109
Johns Hopkins University,102
Ant Group,100
"University of California, Los Angeles",100
University of Waterloo,98
Microsoft Research Asia,97
Harvard University,93
Meta,90
The Hong Kong University of Science and Technology,90
Hong Kong University of Science and Technology,89
"University of Maryland, College Park",87
"S-Lab, Nanyang Technological University",86
University of Maryland,85
Tencent AI Lab,84
Yale University,82
Huawei Noah’s Ark Lab,82
MBZUAI,80
ETH Zurich,79
CUHK,78
"Tongyi Lab, Alibaba Group",78
Massachusetts Institute of Technology,76
Westlake University,75
UC San Diego,75
Beihang University,74
Shanghai AI Lab,74
Salesforce AI Research,72
Columbia University,72
FAIR at Meta,70
Cornell University,69
"The Chinese University of Hong Kong, Shenzhen",69
Amazon,68
Tencent,68
University of Cambridge,68
Renmin University of China,67
Northeastern University,67
University of Michigan,66
University of Toronto,63
Allen Institute for AI,62
MIT CSAIL,61
"Gaoling School of Artificial Intelligence, Renmin University of China",61
Georgia Institute of Technology,61
The Hong Kong Polytechnic University,60
University of Pennsylvania,60
"University of California, San Diego",60
Huazhong University of Science and Technology,59
Sun Yat-sen University,58
University of Edinburgh,58
Kuaishou Technology,57
"ARC Lab, Tencent PCG",57
SenseTime Research,56
The University of Texas at Austin,55
"Show Lab, National University of Singapore",54
The Hong Kong University of Science and Technology (Guangzhou),54
Imperial College London,53
UIUC,51
University of Wisconsin-Madison,51
City University of Hong Kong,49
UCLA,49
KAIST AI,49
HKUST(GZ),48
UNC Chapel Hill,48
Tencent Hunyuan,48
Independent,46
Hugging Face,46
University of Chinese Academy of Sciences,46
Virginia Tech,45
University of Rochester,45
ETH Zürich,45
University College London,45
HKU,44
"Institute of Automation, Chinese Academy of Sciences",44
"Kling Team, Kuaishou Technology",44
Harbin Institute of Technology,44
Xi’an Jiaotong University,44
Tel Aviv University,44
"DAMO Academy, Alibaba Group",44
StepFun,43
Singapore University of Technology and Design,43
Wuhan University,43
Brown University,43
Beijing Academy of Artificial Intelligence,42
Seoul National University,42
Microsoft Corporation,42
Snap Inc.,42
Yonsei University,42
Fudan University; Shanghai Innovation Institute,42
University of Chicago,42
CUHK MMLab,42
South China University of Technology,41
Duke University,41
UT Austin,40
The Ohio State University,40
ByteDance Inc.,39
Northwestern University,39
CMU,39
Meta FAIR,38
NUS,38
University of Texas at Austin,37
University of British Columbia,37
Purdue University,37
Texas A&M University,37
University of Notre Dame,36
"University of California, Santa Cruz",36
Beijing University of Posts and Telecommunications,36
UC Santa Cruz,36
Shanghai Innovation Institute,36
Meta Superintelligence Labs,35
Meituan,35
Rutgers University,35
"University of California, Santa Barbara",35
University of Virginia,35
CASIA,34
"Nanyang Technological University, Singapore",34
Monash University,34
Sea AI Lab,34
M-A-P,34
Korea University,33
Cohere,32
Stanford,32
EPFL,32
OpenAI,32
Shanghai Jiao Tong University; Shanghai AI Laboratory,32
IBM Research,31
Shanghai AI Laboratory; The Chinese University of Hong Kong,31
Georgia Tech,31
Stony Brook University,31
KAUST,30
Allen Institute for AI; University of Washington,30
The Chinese University of Hong Kong; Shanghai AI Laboratory,30
Xiaohongshu Inc.,30
Anthropic,30
The University of Tokyo,30
ShanghaiTech University,30
Shanghai Artificial Intelligence Laboratory; The Chinese University of Hong Kong,30
Shanghai AI Laboratory; Shanghai Jiao Tong University,30
Tongji University,30
University of Illinois at Urbana-Champaign,29
East China Normal University,29
Technical University of Munich,29
Qualcomm AI Research,29
Allen Institute for Artificial Intelligence,28
University of Wisconsin–Madison,28
University of Electronic Science and Technology of China,28
National Yang Ming Chiao Tung University,27
Singapore Management University,27
"DAMO Academy, Alibaba Group; Hupan Lab",27
Soochow University,27
Stability AI,27
USTC,27
